conditions,relevant_property,sharpness,utterance_label,speaker_prob,variant,semantic_family,semantic_regime
erdc,first,sharp,CD,0.009193451,current_context_fixed,current,context_fixed
erdc,first,sharp,CDF,0.02022518,current_context_fixed,current,context_fixed
erdc,first,sharp,CF,0.004942314,current_context_fixed,current,context_fixed
erdc,first,sharp,CFD,0.0027067927,current_context_fixed,current,context_fixed
erdc,first,sharp,D,0.14975211,current_context_fixed,current,context_fixed
erdc,first,sharp,DC,0.22412422,current_context_fixed,current,context_fixed
erdc,first,sharp,DCF,0.19935106,current_context_fixed,current,context_fixed
erdc,first,sharp,DF,0.17392527,current_context_fixed,current,context_fixed
erdc,first,sharp,DFC,0.13021745,current_context_fixed,current,context_fixed
erdc,first,sharp,F,0.024383362,current_context_fixed,current,context_fixed
erdc,first,sharp,FC,0.004126939,current_context_fixed,current,context_fixed
erdc,first,sharp,FCD,0.0019438666,current_context_fixed,current,context_fixed
erdc,first,sharp,FD,0.007155473,current_context_fixed,current,context_fixed
erdc,first,sharp,FDC,0.014905612,current_context_fixed,current,context_fixed
zrdc,second,blurred,C,0.37224606,current_context_fixed,current,context_fixed
zrdc,second,blurred,CD,0.032582637,current_context_fixed,current,context_fixed
zrdc,second,blurred,CDF,0.07612587,current_context_fixed,current,context_fixed
zrdc,second,blurred,CF,0.10473462,current_context_fixed,current,context_fixed
zrdc,second,blurred,CFD,0.05018728,current_context_fixed,current,context_fixed
zrdc,second,blurred,D,0.052249715,current_context_fixed,current,context_fixed
zrdc,second,blurred,DC,0.11830926,current_context_fixed,current,context_fixed
zrdc,second,blurred,DCF,0.06021053,current_context_fixed,current,context_fixed
zrdc,second,blurred,DF,0.019074371,current_context_fixed,current,context_fixed
zrdc,second,blurred,DFC,0.014381927,current_context_fixed,current,context_fixed
zrdc,second,blurred,F,0.04947994,current_context_fixed,current,context_fixed
zrdc,second,blurred,FC,0.03485389,current_context_fixed,current,context_fixed
zrdc,second,blurred,FCD,0.0078040333,current_context_fixed,current,context_fixed
zrdc,second,blurred,FD,0.002642201,current_context_fixed,current,context_fixed
zrdc,second,blurred,FDC,0.005117658,current_context_fixed,current,context_fixed
zrdc,second,sharp,C,0.33883452,current_context_fixed,current,context_fixed
zrdc,second,sharp,CD,0.035235673,current_context_fixed,current,context_fixed
zrdc,second,sharp,CDF,0.08239847,current_context_fixed,current,context_fixed
zrdc,second,sharp,CF,0.09016686,current_context_fixed,current,context_fixed
zrdc,second,sharp,CFD,0.043371707,current_context_fixed,current,context_fixed
zrdc,second,sharp,D,0.061594937,current_context_fixed,current,context_fixed
zrdc,second,sharp,DC,0.13932277,current_context_fixed,current,context_fixed
zrdc,second,sharp,DCF,0.07552297,current_context_fixed,current,context_fixed
zrdc,second,sharp,DF,0.022754958,current_context_fixed,current,context_fixed
zrdc,second,sharp,DFC,0.01718276,current_context_fixed,current,context_fixed
zrdc,second,sharp,F,0.04592971,current_context_fixed,current,context_fixed
zrdc,second,sharp,FC,0.031373825,current_context_fixed,current,context_fixed
zrdc,second,sharp,FCD,0.0075043864,current_context_fixed,current,context_fixed
zrdc,second,sharp,FD,0.0029639294,current_context_fixed,current,context_fixed
zrdc,second,sharp,FDC,0.00584253,current_context_fixed,current,context_fixed
brdc,both,blurred,C,0.18229462,current_context_updating,current,context_updating
brdc,both,blurred,CD,0.028262125,current_context_updating,current,context_updating
brdc,both,blurred,CDF,0.065910846,current_context_updating,current,context_updating
brdc,both,blurred,CF,0.035505712,current_context_updating,current,context_updating
brdc,both,blurred,CFD,0.017290125,current_context_updating,current,context_updating
brdc,both,blurred,D,0.10598596,current_context_updating,current,context_updating
brdc,both,blurred,DC,0.22271055,current_context_updating,current,context_updating
brdc,both,blurred,DCF,0.13826053,current_context_updating,current,context_updating
brdc,both,blurred,DF,0.05919358,current_context_updating,current,context_updating
brdc,both,blurred,DFC,0.044429038,current_context_updating,current,context_updating
brdc,both,blurred,F,0.048251938,current_context_updating,current,context_updating
brdc,both,blurred,FC,0.024888257,current_context_updating,current,context_updating
brdc,both,blurred,FCD,0.006853279,current_context_updating,current,context_updating
brdc,both,blurred,FD,0.0064550987,current_context_updating,current,context_updating
brdc,both,blurred,FDC,0.013708334,current_context_updating,current,context_updating
brdc,both,sharp,C,0.12902544,current_context_updating,current,context_updating
brdc,both,sharp,CD,0.024202982,current_context_updating,current,context_updating
brdc,both,sharp,CDF,0.056313775,current_context_updating,current,context_updating
brdc,both,sharp,CF,0.01805968,current_context_updating,current,context_updating
brdc,both,sharp,CFD,0.008965748,current_context_updating,current,context_updating
brdc,both,sharp,D,0.12611581,current_context_updating,current,context_updating
brdc,both,sharp,DC,0.26563707,current_context_updating,current,context_updating
brdc,both,sharp,DCF,0.17522773,current_context_updating,current,context_updating
brdc,both,sharp,DF,0.06981819,current_context_updating,current,context_updating
brdc,both,sharp,DFC,0.052373383,current_context_updating,current,context_updating
brdc,both,sharp,F,0.035214532,current_context_updating,current,context_updating
brdc,both,sharp,FC,0.014728719,current_context_updating,current,context_updating
brdc,both,sharp,FCD,0.0045162654,current_context_updating,current,context_updating
brdc,both,sharp,FD,0.006343592,current_context_updating,current,context_updating
brdc,both,sharp,FDC,0.013457104,current_context_updating,current,context_updating
erdc,first,blurred,C,0.04983205,current_context_updating,current,context_updating
erdc,first,blurred,CD,0.011153813,current_context_updating,current,context_updating
erdc,first,blurred,CDF,0.025461521,current_context_updating,current,context_updating
erdc,first,blurred,CF,0.0098108165,current_context_updating,current,context_updating
erdc,first,blurred,CFD,0.0049548815,current_context_updating,current,context_updating
erdc,first,blurred,D,0.13985008,current_context_updating,current,context_updating
erdc,first,blurred,DC,0.21683727,current_context_updating,current,context_updating
erdc,first,blurred,DCF,0.17117773,current_context_updating,current,context_updating
erdc,first,blurred,DF,0.16716206,current_context_updating,current,context_updating
erdc,first,blurred,DFC,0.12359103,current_context_updating,current,context_updating
erdc,first,blurred,F,0.03788282,current_context_updating,current,context_updating
erdc,first,blurred,FC,0.008581334,current_context_updating,current,context_updating
erdc,first,blurred,FCD,0.0032689495,current_context_updating,current,context_updating
erdc,first,blurred,FD,0.0096128145,current_context_updating,current,context_updating
erdc,first,blurred,FDC,0.02082285,current_context_updating,current,context_updating
erdc,first,sharp,C,0.033059005,current_context_updating,current,context_updating
erdc,first,sharp,CD,0.009168754,current_context_updating,current,context_updating
erdc,first,sharp,CDF,0.020167675,current_context_updating,current,context_updating
erdc,first,sharp,CF,0.005033964,current_context_updating,current,context_updating
erdc,first,sharp,CFD,0.0027505234,current_context_updating,current,context_updating
erdc,first,sharp,D,0.14980568,current_context_updating,current,context_updating
erdc,first,sharp,DC,0.22739294,current_context_updating,current,context_updating
erdc,first,sharp,DCF,0.20226981,current_context_updating,current,context_updating
erdc,first,sharp,DF,0.17030722,current_context_updating,current,context_updating
erdc,first,sharp,DFC,0.12751211,current_context_updating,current,context_updating
erdc,first,sharp,F,0.024391642,current_context_updating,current,context_updating
erdc,first,sharp,FC,0.0041281837,current_context_updating,current,context_updating
erdc,first,sharp,FCD,0.0019443157,current_context_updating,current,context_updating
erdc,first,sharp,FD,0.007157724,current_context_updating,current,context_updating
erdc,first,sharp,FDC,0.014910497,current_context_updating,current,context_updating
zrdc,second,blurred,C,0.3722473,current_context_updating,current,context_updating
zrdc,second,blurred,CD,0.032585356,current_context_updating,current,context_updating
zrdc,second,blurred,CDF,0.0761323,current_context_updating,current,context_updating
zrdc,second,blurred,CF,0.1047265,current_context_updating,current,context_updating
zrdc,second,blurred,CFD,0.0501834,current_context_updating,current,context_updating
zrdc,second,blurred,D,0.052249953,current_context_updating,current,context_updating
zrdc,second,blurred,DC,0.11830956,current_context_updating,current,context_updating
zrdc,second,blurred,DCF,0.06021067,current_context_updating,current,context_updating
zrdc,second,blurred,DF,0.019074753,current_context_updating,current,context_updating
zrdc,second,blurred,DFC,0.0143822115,current_context_updating,current,context_updating
zrdc,second,blurred,F,0.049480084,current_context_updating,current,context_updating
zrdc,second,blurred,FC,0.034853987,current_context_updating,current,context_updating
zrdc,second,blurred,FCD,0.0078040534,current_context_updating,current,context_updating
zrdc,second,blurred,FD,0.0026422094,current_context_updating,current,context_updating
zrdc,second,blurred,FDC,0.005117676,current_context_updating,current,context_updating
zrdc,second,sharp,C,0.33883554,current_context_updating,current,context_updating
zrdc,second,sharp,CD,0.035237994,current_context_updating,current,context_updating
zrdc,second,sharp,CDF,0.08240395,current_context_updating,current,context_updating
zrdc,second,sharp,CF,0.09015993,current_context_updating,current,context_updating
zrdc,second,sharp,CFD,0.043368395,current_context_updating,current,context_updating
zrdc,second,sharp,D,0.061595183,current_context_updating,current,context_updating
zrdc,second,sharp,DC,0.13932346,current_context_updating,current,context_updating
zrdc,second,sharp,DCF,0.07552334,current_context_updating,current,context_updating
zrdc,second,sharp,DF,0.0227549,current_context_updating,current,context_updating
zrdc,second,sharp,DFC,0.017182719,current_context_updating,current,context_updating
zrdc,second,sharp,F,0.04592982,current_context_updating,current,context_updating
zrdc,second,sharp,FC,0.031373892,current_context_updating,current,context_updating
zrdc,second,sharp,FCD,0.0075044013,current_context_updating,current,context_updating
zrdc,second,sharp,FD,0.0029639364,current_context_updating,current,context_updating
zrdc,second,sharp,FDC,0.005842546,current_context_updating,current,context_updating
brdc,both,blurred,C,0.18229252,tmcc_context_fixed,tmcc,context_fixed
brdc,both,blurred,CD,0.028261827,tmcc_context_fixed,tmcc,context_fixed
brdc,both,blurred,CDF,0.06591014,tmcc_context_fixed,tmcc,context_fixed
brdc,both,blurred,CF,0.035505302,tmcc_context_fixed,tmcc,context_fixed
brdc,both,blurred,CFD,0.017289931,tmcc_context_fixed,tmcc,context_fixed
brdc,both,blurred,D,0.105984755,tmcc_context_fixed,tmcc,context_fixed
brdc,both,blurred,DC,0.22268212,tmcc_context_fixed,tmcc,context_fixed
brdc,both,blurred,DCF,0.13824385,tmcc_context_fixed,tmcc,context_fixed
brdc,both,blurred,DF,0.059222788,tmcc_context_fixed,tmcc,context_fixed
brdc,both,blurred,DFC,0.04445088,tmcc_context_fixed,tmcc,context_fixed
brdc,both,blurred,F,0.048251446,tmcc_context_fixed,tmcc,context_fixed
brdc,both,blurred,FC,0.024888001,tmcc_context_fixed,tmcc,context_fixed
brdc,both,blurred,FCD,0.0068532177,tmcc_context_fixed,tmcc,context_fixed
brdc,both,blurred,FD,0.00645504,tmcc_context_fixed,tmcc,context_fixed
brdc,both,blurred,FDC,0.013708203,tmcc_context_fixed,tmcc,context_fixed
brdc,both,sharp,C,0.12902258,tmcc_context_fixed,tmcc,context_fixed
brdc,both,sharp,CD,0.024202466,tmcc_context_fixed,tmcc,context_fixed
brdc,both,sharp,CDF,0.056312557,tmcc_context_fixed,tmcc,context_fixed
brdc,both,sharp,CF,0.018059261,tmcc_context_fixed,tmcc,context_fixed
brdc,both,sharp,CFD,0.008965548,tmcc_context_fixed,tmcc,context_fixed
brdc,both,sharp,D,0.1261133,tmcc_context_fixed,tmcc,context_fixed
brdc,both,sharp,DC,0.26557252,tmcc_context_fixed,tmcc,context_fixed
brdc,both,sharp,DCF,0.17518473,tmcc_context_fixed,tmcc,context_fixed
brdc,both,sharp,DF,0.069885105,tmcc_context_fixed,tmcc,context_fixed
brdc,both,sharp,DFC,0.05242342,tmcc_context_fixed,tmcc,context_fixed
brdc,both,sharp,F,0.035213724,tmcc_context_fixed,tmcc,context_fixed
brdc,both,sharp,FC,0.014728379,tmcc_context_fixed,tmcc,context_fixed
brdc,both,sharp,FCD,0.004516173,tmcc_context_fixed,tmcc,context_fixed
brdc,both,sharp,FD,0.006343463,tmcc_context_fixed,tmcc,context_fixed
brdc,both,sharp,FDC,0.013456815,tmcc_context_fixed,tmcc,context_fixed
erdc,first,blurred,C,0.06885466,tmcc_context_fixed,tmcc,context_fixed
erdc,first,blurred,CD,0.014883725,tmcc_context_fixed,tmcc,context_fixed
erdc,first,blurred,CDF,0.034280177,tmcc_context_fixed,tmcc,context_fixed
erdc,first,blurred,CF,0.014399729,tmcc_context_fixed,tmcc,context_fixed
erdc,first,blurred,CFD,0.007110512,tmcc_context_fixed,tmcc,context_fixed
erdc,first,blurred,D,0.13444936,tmcc_context_fixed,tmcc,context_fixed
erdc,first,blurred,DC,0.22484885,tmcc_context_fixed,tmcc,context_fixed
erdc,first,blurred,DCF,0.17760709,tmcc_context_fixed,tmcc,context_fixed
erdc,first,blurred,DF,0.1417803,tmcc_context_fixed,tmcc,context_fixed
erdc,first,blurred,DFC,0.10483939,tmcc_context_fixed,tmcc,context_fixed
erdc,first,blurred,F,0.036354996,tmcc_context_fixed,tmcc,context_fixed
erdc,first,blurred,FC,0.010425695,tmcc_context_fixed,tmcc,context_fixed
erdc,first,blurred,FCD,0.0038740654,tmcc_context_fixed,tmcc,context_fixed
erdc,first,blurred,FD,0.00833887,tmcc_context_fixed,tmcc,context_fixed
erdc,first,blurred,FDC,0.017952578,tmcc_context_fixed,tmcc,context_fixed
erdc,first,sharp,C,0.04618684,tmcc_context_fixed,tmcc,context_fixed
erdc,first,sharp,CD,0.012488443,tmcc_context_fixed,tmcc,context_fixed
erdc,first,sharp,CDF,0.02778312,tmcc_context_fixed,tmcc,context_fixed
erdc,first,sharp,CF,0.0072081545,tmcc_context_fixed,tmcc,context_fixed
erdc,first,sharp,CFD,0.0037879394,tmcc_context_fixed,tmcc,context_fixed
erdc,first,sharp,D,0.14573689,tmcc_context_fixed,tmcc,context_fixed
erdc,first,sharp,DC,0.23825203,tmcc_context_fixed,tmcc,context_fixed
erdc,first,sharp,DCF,0.21204636,tmcc_context_fixed,tmcc,context_fixed
erdc,first,sharp,DF,0.14599192,tmcc_context_fixed,tmcc,context_fixed
erdc,first,sharp,DFC,0.10933083,tmcc_context_fixed,tmcc,context_fixed
erdc,first,sharp,F,0.023726676,tmcc_context_fixed,tmcc,context_fixed
erdc,first,sharp,FC,0.005157679,tmcc_context_fixed,tmcc,context_fixed
erdc,first,sharp,FCD,0.0023238936,tmcc_context_fixed,tmcc,context_fixed
erdc,first,sharp,FD,0.0065043755,tmcc_context_fixed,tmcc,context_fixed
erdc,first,sharp,FDC,0.0134748835,tmcc_context_fixed,tmcc,context_fixed
zrdc,second,blurred,C,0.37224606,tmcc_context_fixed,tmcc,context_fixed
zrdc,second,blurred,CD,0.032582637,tmcc_context_fixed,tmcc,context_fixed
zrdc,second,blurred,CDF,0.07612587,tmcc_context_fixed,tmcc,context_fixed
zrdc,second,blurred,CF,0.10473462,tmcc_context_fixed,tmcc,context_fixed
zrdc,second,blurred,CFD,0.05018728,tmcc_context_fixed,tmcc,context_fixed
zrdc,second,blurred,D,0.052249715,tmcc_context_fixed,tmcc,context_fixed
zrdc,second,blurred,DC,0.11830926,tmcc_context_fixed,tmcc,context_fixed
zrdc,second,blurred,DCF,0.06021053,tmcc_context_fixed,tmcc,context_fixed
zrdc,second,blurred,DF,0.019074371,tmcc_context_fixed,tmcc,context_fixed
zrdc,second,blurred,DFC,0.014381927,tmcc_context_fixed,tmcc,context_fixed
zrdc,second,blurred,F,0.04947994,tmcc_context_fixed,tmcc,context_fixed
zrdc,second,blurred,FC,0.03485389,tmcc_context_fixed,tmcc,context_fixed
zrdc,second,blurred,FCD,0.0078040333,tmcc_context_fixed,tmcc,context_fixed
zrdc,second,blurred,FD,0.002642201,tmcc_context_fixed,tmcc,context_fixed
zrdc,second,blurred,FDC,0.005117658,tmcc_context_fixed,tmcc,context_fixed
zrdc,second,sharp,C,0.33883452,tmcc_context_fixed,tmcc,context_fixed
zrdc,second,sharp,CD,0.035235673,tmcc_context_fixed,tmcc,context_fixed
zrdc,second,sharp,CDF,0.08239847,tmcc_context_fixed,tmcc,context_fixed
zrdc,second,sharp,CF,0.09016686,tmcc_context_fixed,tmcc,context_fixed
zrdc,second,sharp,CFD,0.043371707,tmcc_context_fixed,tmcc,context_fixed
zrdc,second,sharp,D,0.061594937,tmcc_context_fixed,tmcc,context_fixed
zrdc,second,sharp,DC,0.13932277,tmcc_context_fixed,tmcc,context_fixed
zrdc,second,sharp,DCF,0.07552297,tmcc_context_fixed,tmcc,context_fixed
zrdc,second,sharp,DF,0.022754958,tmcc_context_fixed,tmcc,context_fixed
zrdc,second,sharp,DFC,0.01718276,tmcc_context_fixed,tmcc,context_fixed
zrdc,second,sharp,F,0.04592971,tmcc_context_fixed,tmcc,context_fixed
zrdc,second,sharp,FC,0.031373825,tmcc_context_fixed,tmcc,context_fixed
zrdc,second,sharp,FCD,0.0075043864,tmcc_context_fixed,tmcc,context_fixed
zrdc,second,sharp,FD,0.0029639294,tmcc_context_fixed,tmcc,context_fixed
zrdc,second,sharp,FDC,0.00584253,tmcc_context_fixed,tmcc,context_fixed
brdc,both,blurred,C,0.18193181,tmcc_context_updating,tmcc,context_updating
brdc,both,blurred,CD,0.0275412,tmcc_context_updating,tmcc,context_updating
brdc,both,blurred,CDF,0.064206354,tmcc_context_updating,tmcc,context_updating
brdc,both,blurred,CF,0.037591975,tmcc_context_updating,tmcc,context_updating
brdc,both,blurred,CFD,0.018285586,tmcc_context_updating,tmcc,context_updating
brdc,both,blurred,D,0.105784856,tmcc_context_updating,tmcc,context_updating
brdc,both,blurred,DC,0.21976031,tmcc_context_updating,tmcc,context_updating
brdc,both,blurred,DCF,0.13641536,tmcc_context_updating,tmcc,context_updating
brdc,both,blurred,DF,0.061996523,tmcc_context_updating,tmcc,context_updating
brdc,both,blurred,DFC,0.046524882,tmcc_context_updating,tmcc,context_updating
brdc,both,blurred,F,0.04815569,tmcc_context_updating,tmcc,context_updating
brdc,both,blurred,FC,0.02483847,tmcc_context_updating,tmcc,context_updating
brdc,both,blurred,FCD,0.0068405163,tmcc_context_updating,tmcc,context_updating
brdc,both,blurred,FD,0.006443723,tmcc_context_updating,tmcc,context_updating
brdc,both,blurred,FDC,0.013682705,tmcc_context_updating,tmcc,context_updating
brdc,both,sharp,C,0.12881473,tmcc_context_updating,tmcc,context_updating
brdc,both,sharp,CD,0.02370642,tmcc_context_updating,tmcc,context_updating
brdc,both,sharp,CDF,0.05513975,tmcc_context_updating,tmcc,context_updating
brdc,both,sharp,CF,0.019514004,tmcc_context_updating,tmcc,context_updating
brdc,both,sharp,CFD,0.009659679,tmcc_context_updating,tmcc,context_updating
brdc,both,sharp,D,0.12591396,tmcc_context_updating,tmcc,context_updating
brdc,both,sharp,DC,0.26247957,tmcc_context_updating,tmcc,context_updating
brdc,both,sharp,DCF,0.17312498,tmcc_context_updating,tmcc,context_updating
brdc,both,sharp,DF,0.07285798,tmcc_context_updating,tmcc,context_updating
brdc,both,sharp,DFC,0.054646328,tmcc_context_updating,tmcc,context_updating
brdc,both,sharp,F,0.035157256,tmcc_context_updating,tmcc,context_updating
brdc,both,sharp,FC,0.014705204,tmcc_context_updating,tmcc,context_updating
brdc,both,sharp,FCD,0.004509818,tmcc_context_updating,tmcc,context_updating
brdc,both,sharp,FD,0.0063342643,tmcc_context_updating,tmcc,context_updating
brdc,both,sharp,FDC,0.01343609,tmcc_context_updating,tmcc,context_updating
erdc,first,blurred,C,0.06878423,tmcc_context_updating,tmcc,context_updating
erdc,first,blurred,CD,0.0149529,tmcc_context_updating,tmcc,context_updating
erdc,first,blurred,CDF,0.034443732,tmcc_context_updating,tmcc,context_updating
erdc,first,blurred,CF,0.014105832,tmcc_context_updating,tmcc,context_updating
erdc,first,blurred,CFD,0.006972049,tmcc_context_updating,tmcc,context_updating
erdc,first,blurred,D,0.13432781,tmcc_context_updating,tmcc,context_updating
erdc,first,blurred,DC,0.21399914,tmcc_context_updating,tmcc,context_updating
erdc,first,blurred,DCF,0.16810244,tmcc_context_updating,tmcc,context_updating
erdc,first,blurred,DF,0.15393506,tmcc_context_updating,tmcc,context_updating
erdc,first,blurred,DFC,0.113537304,tmcc_context_updating,tmcc,context_updating
erdc,first,blurred,F,0.03630341,tmcc_context_updating,tmcc,context_updating
erdc,first,blurred,FC,0.010410831,tmcc_context_updating,tmcc,context_updating
erdc,first,blurred,FCD,0.0038687533,tmcc_context_updating,tmcc,context_updating
erdc,first,blurred,FD,0.00832813,tmcc_context_updating,tmcc,context_updating
erdc,first,blurred,FDC,0.01792838,tmcc_context_updating,tmcc,context_updating
erdc,first,sharp,C,0.04600804,tmcc_context_updating,tmcc,context_updating
erdc,first,sharp,CD,0.0124702575,tmcc_context_updating,tmcc,context_updating
erdc,first,sharp,CDF,0.027737213,tmcc_context_updating,tmcc,context_updating
erdc,first,sharp,CF,0.007082907,tmcc_context_updating,tmcc,context_updating
erdc,first,sharp,CFD,0.0037281776,tmcc_context_updating,tmcc,context_updating
erdc,first,sharp,D,0.14518797,tmcc_context_updating,tmcc,context_updating
erdc,first,sharp,DC,0.18739289,tmcc_context_updating,tmcc,context_updating
erdc,first,sharp,DCF,0.1644266,tmcc_context_updating,tmcc,context_updating
erdc,first,sharp,DF,0.20302121,tmcc_context_updating,tmcc,context_updating
erdc,first,sharp,DFC,0.15197337,tmcc_context_updating,tmcc,context_updating
erdc,first,sharp,F,0.023623515,tmcc_context_updating,tmcc,context_updating
erdc,first,sharp,FC,0.0051371213,tmcc_context_updating,tmcc,context_updating
erdc,first,sharp,FCD,0.0023160442,tmcc_context_updating,tmcc,context_updating
erdc,first,sharp,FD,0.0064784554,tmcc_context_updating,tmcc,context_updating
erdc,first,sharp,FDC,0.013416244,tmcc_context_updating,tmcc,context_updating
zrdc,second,blurred,C,0.37254825,tmcc_context_updating,tmcc,context_updating
zrdc,second,blurred,CD,0.033039767,tmcc_context_updating,tmcc,context_updating
zrdc,second,blurred,CDF,0.077206664,tmcc_context_updating,tmcc,context_updating
zrdc,second,blurred,CF,0.10342363,tmcc_context_updating,tmcc,context_updating
zrdc,second,blurred,CFD,0.04956375,tmcc_context_updating,tmcc,context_updating
zrdc,second,blurred,D,0.052296862,tmcc_context_updating,tmcc,context_updating
zrdc,second,blurred,DC,0.118861444,tmcc_context_updating,tmcc,context_updating
zrdc,second,blurred,DCF,0.060493633,tmcc_context_updating,tmcc,context_updating
zrdc,second,blurred,DF,0.018578172,tmcc_context_updating,tmcc,context_updating
zrdc,second,blurred,DFC,0.01401156,tmcc_context_updating,tmcc,context_updating
zrdc,second,blurred,F,0.049519613,tmcc_context_updating,tmcc,context_updating
zrdc,second,blurred,FC,0.034881234,tmcc_context_updating,tmcc,context_updating
zrdc,second,blurred,FCD,0.007809777,tmcc_context_updating,tmcc,context_updating
zrdc,second,blurred,FD,0.0026439836,tmcc_context_updating,tmcc,context_updating
zrdc,second,blurred,FDC,0.0051216744,tmcc_context_updating,tmcc,context_updating
zrdc,second,sharp,C,0.3390694,tmcc_context_updating,tmcc,context_updating
zrdc,second,sharp,CD,0.035771888,tmcc_context_updating,tmcc,context_updating
zrdc,second,sharp,CDF,0.08366624,tmcc_context_updating,tmcc,context_updating
zrdc,second,sharp,CF,0.08857071,tmcc_context_updating,tmcc,context_updating
zrdc,second,sharp,CFD,0.0426101,tmcc_context_updating,tmcc,context_updating
zrdc,second,sharp,D,0.061641883,tmcc_context_updating,tmcc,context_updating
zrdc,second,sharp,DC,0.13939774,tmcc_context_updating,tmcc,context_updating
zrdc,second,sharp,DCF,0.07556376,tmcc_context_updating,tmcc,context_updating
zrdc,second,sharp,DF,0.022808742,tmcc_context_updating,tmcc,context_updating
zrdc,second,sharp,DFC,0.017222976,tmcc_context_updating,tmcc,context_updating
zrdc,second,sharp,F,0.04596086,tmcc_context_updating,tmcc,context_updating
zrdc,second,sharp,FC,0.031394612,tmcc_context_updating,tmcc,context_updating
zrdc,second,sharp,FCD,0.007509044,tmcc_context_updating,tmcc,context_updating
zrdc,second,sharp,FD,0.0029656533,tmcc_context_updating,tmcc,context_updating
zrdc,second,sharp,FDC,0.0058464142,tmcc_context_updating,tmcc,context_updating
